Customer,CustomerName,CustomerFullName,BPCustomerName,BPCustomerFullName,CreatedByUser,CreationDate,AddressID,CustomerClassification,VATRegistration,CustomerAccountGroup,AuthorizationGroup,DeliveryIsBlocked,PostingIsBlocked,BillingIsBlockedForCustomer,OrderIsBlockedForCustomer,InternationalLocationNumber1,IsOneTimeAccount,TaxJurisdiction,Industry,TaxNumberType,TaxNumber1,TaxNumber2,TaxNumber3,TaxNumber4,TaxNumber5,TaxNumber6,CustomerCorporateGroup,Supplier,NielsenRegion,IndustryCode1,IndustryCode2,IndustryCode3,IndustryCode4,IndustryCode5,Country,OrganizationBPName1,OrganizationBPName2,CityName,PostalCode,StreetName,SortField,FaxNumber,BR_SUFRAMACode,Region,TelephoneNumber1,TelephoneNumber2,AlternativePayerAccount,DataMediumExchangeIndicator,VATLiability,IsBusinessPurposeCompleted,ResponsibleType,FiscalAddress,NFPartnerIsNaturalPerson,DeletionIndicator,Language,TradingPartner,DeliveryDateTypeRule,ExpressTrainStationName,TrainStationName,InternationalLocationNumber2,InternationalLocationNumber3,CityCode,County,CustomerHasUnloadingPoint,CustomerWorkingTimeCalendar,IsCompetitor,TaxInvoiceRepresentativeName,BusinessType,IndustryType,TW_CollvBillingIsSupported,AlternativePayeeIsAllowed,FreeDefinedAttribute01,FreeDefinedAttribute02,FreeDefinedAttribute03,FreeDefinedAttribute04,FreeDefinedAttribute05,FreeDefinedAttribute06,FreeDefinedAttribute07,FreeDefinedAttribute08,FreeDefinedAttribute09,FreeDefinedAttribute10,PaymentReason,CustomerConditionGroup1,CustomerConditionGroup2,CustomerConditionGroup3,CustomerConditionGroup4,CustomerConditionGroup5,IsSalesProspect,PaymentIsBlockedForCustomer,IsConsumer,DataControllerSet,DataController1,DataController2,DataController3,DataController4,DataController5,DataController6,DataController7,DataController8,DataController9,DataController10,BusinessPartnerName1,BusinessPartnerName2,BusinessPartnerName3,BusinessPartnerName4,BPAddrCityName,BPAddrStreetName,AddressSearchTerm1,AddressSearchTerm2,DistrictName,POBoxDeviatingCityName,BusinessPartnerFormOfAddress,BR_ICMSTaxPayerType
##1,Cust. for paym. format test BRQ3 Comp. code: PBR1 Name2, Cust. for paym. format test BRQ3Comp. code: PBR1 Name2/123487633  Customer City,Cust. for paym. format test BRQ3 Comp. code: PBR1 Name2,Cust. for paym. format test BRQ3 Comp. code: PBR1 Name2,MEDUNAT,2018-01-24,0000053336,,,,,,false,,,0000000,false,1234567890,,,,,,,,,,,,,,,,,BR,Cust. for paym. format test BRQ3,Comp. code: PBR1 Name2, Customer City,123487633,Customer street 123,BRQ3,,,RJ,,,,,false,,,,true,false,EN,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Cust. for paym. format test BRQ3,Comp. code: PBR1 Name2,,, Customer City,Customer street,BRQ3,,,,,
0000000001,ZF-PAYER Don't touch!!!!!!!!!! Shelly,Company ZF-PAYER Don't touch!!!!!!!!!!Shelly/12345678 Tokyo,ZF-PAYER Don't touch!!!!!!!!!! Shelly,ZF-PAYER Don't touch!!!!!!!!!! Shelly,FEIS,2015-09-07,0000024703,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,JP,ZF-PAYER Don't touch!!!!!!!!!!,Shelly,Tokyo,12345678,,SHELLY,,,,,,,,false,,,,false,false,EN,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,ZF-PAYER Don't touch!!!!!!!!!!,Shelly,,,Tokyo,,SHELLY,,,,0003,
0000000002,ZF-RECI1 Don't touch!!!!!!!!!! Shelly,Company ZF-RECI1 Don't touch!!!!!!!!!!Shelly/12345678 Tokyo,ZF-RECI1 Don't touch!!!!!!!!!! Shelly,ZF-RECI1 Don't touch!!!!!!!!!! Shelly,FEIS,2015-09-07,0000024705,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,JP,ZF-RECI1 Don't touch!!!!!!!!!!,Shelly,Tokyo,12345678,,SHELLY,,,,,,,,false,,,,false,false,EN,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,ZF-RECI1 Don't touch!!!!!!!!!!,Shelly,,,Tokyo,,SHELLY,,,,0003,
0000000003,ZF-RECI2 Don't touch!!!!!!!!!! Shelly, ZF-RECI2 Don't touch!!!!!!!!!!Shelly/12345678 Tokyo,ZF-RECI2 Don't touch!!!!!!!!!! Shelly,ZF-RECI2 Don't touch!!!!!!!!!! Shelly,FEIS,2015-09-07,0000024707,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,JP,ZF-RECI2 Don't touch!!!!!!!!!!,Shelly,Tokyo,12345678,,SHELLY,,,,,,,,false,,,,false,false,EN,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,ZF-RECI2 Don't touch!!!!!!!!!!,Shelly,,,Tokyo,,SHELLY,,,,,
0000000004,JP3-INV00 Don't touch!!!!!!!!!! Shelly,Company JP3-INV00 Don't touch!!!!!!!!!!Shelly/12345678 Tokyo,JP3-INV00 Don't touch!!!!!!!!!! Shelly,JP3-INV00 Don't touch!!!!!!!!!! Shelly,FEIS,2015-09-08,0000024711,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,JP,JP3-INV00 Don't touch!!!!!!!!!!,Shelly,Tokyo,12345678,,SHELLY,,,,,,,,false,,,,false,false,EN,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,JP3-INV00 Don't touch!!!!!!!!!!,Shelly,,,Tokyo,,SHELLY,,,,0003,
0000000005,JP3-INV10 Don't touch!!!!!!!!!! Shelly, JP3-INV10 Don't touch!!!!!!!!!!Shelly/12345678 Tokyo,JP3-INV10 Don't touch!!!!!!!!!! Shelly,JP3-INV10 Don't touch!!!!!!!!!! Shelly,FEIS,2015-09-08,0000024713,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,JP,JP3-INV10 Don't touch!!!!!!!!!!,Shelly,Tokyo,12345678,,SHELLY,,,,,,,,false,,,,false,false,EN,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,JP3-INV10 Don't touch!!!!!!!!!!,Shelly,,,Tokyo,,SHELLY,,,,,
0000000006,Testata1 test dp, Testata1test dp/33333 Anywhere,Testata1 test dp,Testata1 test dp,SCHMITTB,2015-09-18,0000024812,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,DE,Testata1,test dp,Anywhere,33333,,TESTATA,,,,,,,,false,,,,false,false,EN,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Testata1,test dp,,,Anywhere,,TESTATA,,,,,
0000000011,JP-CUS01, JP-CUS01/10000008 Tokyo,JP-CUS01,JP-CUS01,FEIS,2015-10-16,0000025003,,,DEBI,DPP,,true,,,0000000,false,,,,,,,,,,,,,,,,,,JP,JP-CUS01,,Tokyo,10000008,,JP,,,,,,,,false,true,,,false,true,JA,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,JP-CUS01,,,,Tokyo,,JP,,,,,
0000000016,Rita_CUS, Rita_CUS/12345678 Tokyo,Rita_CUS,Rita_CUS,LUORI,2015-10-23,0000025035,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,JP,Rita_CUS,,Tokyo,12345678,,RITA,,,,,,,,false,,,,false,false,JA,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Rita_CUS,,,,Tokyo,,RITA,,,,,
0000000017,Rita_Payer, Rita_Payer/12345678 Tokyo,Rita_Payer,Rita_Payer,LUORI,2015-10-23,0000025037,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,JP,Rita_Payer,,Tokyo,12345678,,RITA,,,,,,,,false,,,,false,false,JA,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Rita_Payer,,,,Tokyo,,RITA,,,,,
0000000018,Rita_Rec, Rita_Rec/12345678 Tokyo,Rita_Rec,Rita_Rec,LUORI,2015-10-23,0000025039,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,JP,Rita_Rec,,Tokyo,12345678,,RITA,,,,,,,,false,,,,false,false,JA,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Rita_Rec,,,,Tokyo,,RITA,,,,,
0000000019,Rocky shou,Company Rocky shou/12345678 Tokyo,Rocky shou,Rocky shou,SHOU,2015-10-26,0000025050,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,JP,Rocky shou,,Tokyo,12345678,,INVCSUM,,,,,,,,false,,,,false,false,EN,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Rocky shou,,,,Tokyo,,INVCSUM,,,,0003,
0000000021,Lego Japan,Company Lego Japan/20120302 Toyko,Lego Japan,Lego Japan,NIR,2015-10-29,0000025097,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,JP,Lego Japan,,Toyko,20120302,,LEGO,,,,,,,,false,,,,false,false,JA,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Lego Japan,,,,Toyko,,LEGO,LEGO,,,0003,
0000000022,Lego Japan(Sub1), Lego Japan(Sub1)/20120301 Tokyo,Lego Japan(Sub1),Lego Japan(Sub1),NIR,2015-10-29,0000025101,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,JP,Lego Japan(Sub1),,Tokyo,20120301,,LEGO,,,,,,,,false,,,,false,false,JA,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Lego Japan(Sub1),,,,Tokyo,,LEGO,LEGO,,,,
0000000023,Lego Japan(Sub2), Lego Japan(Sub2)/20120302 Toyko,Lego Japan(Sub2),Lego Japan(Sub2),NIR,2015-10-29,0000025103,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,JP,Lego Japan(Sub2),,Toyko,20120302,,LEGO,,,,,,,,false,,,,false,false,JA,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Lego Japan(Sub2),,,,Toyko,,LEGO,LEGO,,,,
0000000024,test log,Company test log/560066 kr,test log,test log,NIMMI,2015-11-03,0000025164,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,IN,test log,,kr,560066,,IN,,,,,,,,false,,,,false,false,EN,,,station express,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,test log,,,,kr,,IN,,,,0003,
0000000025,Carsten Pluder,Mr. Carsten Pluder/69190 Walldorf,Carsten Pluder,Carsten Pluder,PLUDER,2015-11-04,0000025178,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,DE,Carsten Pluder,,Walldorf,69190,,PLUDER,,,,,,,,false,,,,true,false,DE,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Carsten Pluder,,,,Walldorf,,PLUDER,CUSTOMER,,,0002,
0000000026,CUS01,Mr. CUS01/111111 shanghai,CUS01,CUS01,ZHANGBY,2015-11-06,0000025223,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,CN,CUS01,,shanghai,111111,,CUS01,,,,,,,,false,true,,,true,false,EN,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,CUS01,,,,shanghai,,CUS01,,,,0002,
0000000027,Cust02, Cust02/111111 shanghai,Cust02,Cust02,ZHANGBY,2015-11-06,0000025227,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,CN,Cust02,,shanghai,111111,,CUST02,,,,,,,,false,,,,true,false,EN,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Cust02,,,,shanghai,,CUST02,CST2,,,,
0000000028,Susi Büromieter 1, Susi Büromieter 1/69190 Walldorf,Susi Büromieter 1,Susi Büromieter 1,BIBERK,2015-11-11,0000025273,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,DE,Susi Büromieter 1,,Walldorf,69190,Neurottstrasse 1,BÜROMIETER,,,,,,,,false,,,,true,false,DE,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Susi Büromieter 1,,,,Walldorf,Neurottstrasse,BÜROMIETER 1,,,,,
0000000029,Willi Büromieter 2, Willi Büromieter 2/69190 Walldorf,Willi Büromieter 2,Willi Büromieter 2,BIBERK,2015-11-11,0000025278,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,0000101553,,,,,,,DE,Willi Büromieter 2,,Walldorf,69190,Neurottstrasse 1,BÜROMIETER,,,,,,,,false,,,,false,false,DE,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Willi Büromieter 2,,,,Walldorf,Neurottstrasse,BÜROMIETER 2,,,,,
0000000030,Klara Wohnungsmieter 1, Klara Wohnungsmieter 1/69190 Walldorf,Klara Wohnungsmieter 1,Klara Wohnungsmieter 1,BIBERK,2015-11-11,0000025282,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,DE,Klara Wohnungsmieter 1,,Walldorf,69190,Neurottstrasse 1,WOHNUNGSMI,,,,,,,,false,,,,false,false,DE,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Klara Wohnungsmieter 1,,,,Walldorf,Neurottstrasse,WOHNUNGSMIETER 1,,,,,
0000000031,Egon Wohnungsmieter 2, Egon Wohnungsmieter 2/69190 Walldorf,Egon Wohnungsmieter 2,Egon Wohnungsmieter 2,BIBERK,2015-11-11,0000025286,,,DEBI,,,false,,,0000000,false,,,,,,,,,,,,,,,,,,DE,Egon Wohnungsmieter 2,,Walldorf,69190,Neurottstrasse 1,WOHNUNGSMI,,,,,,,,false,,,,false,false,DE,,,,,00000,0,,,false,,false,,,,false,false,,,,,,,,,,,,,,,,,false,false,false,,,,,,,,,,,,Egon Wohnungsmieter 2,,,,Walldorf,Neurottstrasse,WOHNUNGSMIETER 2,,,,,
